"","Distric_Na","KABKOT","KDJ","KDJ_1","RGDPPC2000","RGDPPC2005","RGDPPC2009","RGDPPC2013","RGDPPC2017","log.GDPPC00","log.GDPPC05","log.GDPPC09","log.GDPPC13","log.GDPPC17","RGDPPC00_ddot","RGDPPC05_ddot","RGDPPC09_ddot","RGDPPC13_ddot","RGDPPC17_ddot"
"1","Sumbawa Barat","Kabupaten Sumbawa Barat",5207,5207,187573.4,158483.8,162729.6,92583,141223.6,12.1419255144562,11.973407658874,11.9998452065923,11.4358608184672,11.8580997288853,376669.583218966,297755.634417537,283123.994566269,153094.730064176,222252.634476243
"2","Lombok Tengah","Kabupaten Lombok Tengah",5202,5202,5579.8,6384.8,7795,10382.4,12415.2,8.6269082124391,8.7616754445618,8.96123778149188,9.2478673438669,9.42667680735742,7052.27953059848,8237.52334583269,9625.56611038847,14183.1306092704,15480.2438335876
"3","Denpasar","Kota Denpasar",5171,5171,19795.5,21443.5,24874.3,29577.1,35125.2,9.89320991812499,9.97317684813017,10.1215904209273,10.2947556922429,10.46667410057,24646.4634946221,25603.6853532762,27494.188636118,33144.7194438637,36250.9815290735
"4","Lombok Barat","Kabupaten Lombok Barat",5201,5201,8657.7,9836,11391.6,13279.9,15463.1,9.06620437736695,9.19380440333608,9.34063152067575,9.49400689288159,9.6462118195049,11264.2918147325,12974.9516499974,14315.4631454445,18194.7033940087,19367.2849241906
"5","Lombok Timur","Kabupaten Lombok Timur",5203,5203,5724,6580.8,7858.2,9496,11261.8,8.65242314067634,8.79191159747616,8.96931285156341,9.1586259362895,9.32917174682185,6951.36609916201,8203.39160722378,9397.50613360318,12678.0034432116,13647.879784983
"6","Mataram","Kota Mataram",5271,5271,10927.5,14390.1,18053.4,21802,26614.2,9.29903782673747,9.57429574912759,9.80108931167342,9.9897569876883,10.1892001869173,14277.261248096,19139.6670911367,22930.3131441359,30267.7959054547,33798.3359901369
"7","Badung","Kabupaten Badung",5103,5103,31829.4,32693.7,37175.2,43575,51376.8,10.3681456699571,10.3949376777735,10.5233971512735,10.6822388703882,10.8469419876811,40581.2307039579,39790.2757657752,41801.6705460609,49567.3745576003,53801.9601788654
"8","Gianyar","Kabupaten Gianyar",5104,5104,17412.8,18942.2,22369.4,27488.4,33758.7,9.7649608469418,9.84914751627745,10.0154492324883,10.2215193764825,10.4269934408595,21215.9055604515,22290.723190256,24438.5411180444,30741.2884240573,34737.9932735268
"9","Tabanan","Kabupaten Tabanan",5102,5102,16136,18080.5,21367.2,25957.3,32070.3,9.68880807963405,9.80258928843103,9.96961231492757,10.1642081592457,10.3756856471804,20755.9336067648,22207.526271515,24240.8055348495,29679.7927801617,33819.5178110821
"10","Klungkung","Kabupaten Klungkung",5105,5105,15173.9,17282.9,20281.6,24613.4,30377.7,9.62733212565619,9.75747285235124,9.91746935005655,10.111046289064,10.3214640655814,18750.3224812116,20763.1905641792,22739.275398184,28346.4847054185,32163.1843778566
"11","Sumbawa","Kabupaten Sumbawa",5204,5204,10313.7,12017.1,14094.5,17600.3,21306.3,9.24122838750958,9.39408591442115,9.55353992934682,9.77567122633552,9.96675808261271,13530.9512542224,16267.8776303315,18417.8120973964,25954.6327888529,28634.3398577699
"12","Bangli","Kabupaten Bangli",5106,5106,10097.2,10792.7,12388.1,14909.8,18325.2,9.22001343667187,9.28662525864547,9.42449161338857,9.60977399385259,9.81603244074714,12182.0119503764,12571.9046061273,13390.0358664227,16472.0306102821,18631.0938300907
"13","Karanganyar","Kabupaten Karang Asem",5107,5107,13009.3,16160.1,19171.1,22919.6,27152.5,9.47341976529346,9.69030052017475,9.86115921571843,10.0397477186694,10.2092244021542,16622.6696577583,20469.736551821,22924.6149073197,28803.0475147042,31478.345071753
"14","Jembrana","Kabupaten Jembrana",5101,5101,16889.6,18258,21103.7,25103.8,30753,9.73445332686895,9.81235861912503,9.95720365954143,10.1307745080832,10.3337428294515,20187.2609428411,20626.7237506138,21818.1958276356,25756.7013674591,29073.8110710226
"15","Lombok Utara","Kabupaten Lombok Utara",5208,5208,10276.9,10429,11404.2,13186.1,15292.2,9.23765393711164,9.25234566612121,9.34173698758485,9.48691852344549,9.63509817346476,13411.0542139044,13771.9260349372,14331.5844989023,18063.5821123252,19149.2047334884
"16","Banyuwangi","Kabupaten Banyuwangi",3510,3510,13383.3,16132.3,19705.2,25104.5,30830.6,9.50176294004367,9.68857875239857,9.88863783928579,10.1308023919191,10.3362629822542,16357.9792614157,18610.5643513662,20784.1442591108,26177.8978572123,29615.982671442
"17","Pacitan","Kabupaten Pacitan",3501,3501,8751,9766.9,11798.4,14889.1,18003.6,9.07692325853583,9.18675439683665,9.37571920803983,9.60838468060078,9.79832701688097,13969.7911650233,13810.3232228756,15190.1377789445,18002.2484285244,20563.0608452228
"18","Jember","Kabupaten Jember",3509,3509,9082.4,10813.7,13213,16594.4,20127.3,9.11409375385032,9.28856912774097,9.48895647241422,9.71682056803194,9.90983238147093,13896.0354077692,14845.1943724521,16264.5196938299,18913.6467144427,21430.1662830447
"19","Blitar","Kabupaten Blitar",3505,3505,9372.1,11133.7,13551.1,16687.8,20026.8,9.14549246965185,9.3177318238861,9.51422300382467,9.7224331925091,9.90482665553736,14133.0801969769,15039.8841966329,16663.1707215315,19205.699264168,21757.2634956256
"20","Lumajang","Kabupaten Lumajang",3508,3508,9211.1,11054.3,13380.2,16556.7,19813.4,9.12816455751382,9.31057477152195,9.50153128125361,9.71454613271896,9.89411375545542,13489.1547700835,14478.1522232475,15911.3507094494,18413.8419757547,20768.6547232619
"21","Buleleng","Kabupaten Buleleng",5108,5108,15605.6,17551.6,21025.5,25986.3,32172.6,9.65538510318072,9.77290039282962,9.95349126577122,10.1653247550539,10.3788704376076,20345.385270778,21833.8862993818,24161.7942901388,30071.4018359162,34352.4338835609
"22","Malang","Kabupaten Malang",3507,3507,10954.4,13104.7,15848.6,19757.7,23833.4,9.30149648101802,9.48072622346954,9.67083644732856,9.8912985677661,10.0788432372129,16350.8968362754,17520.1686104127,19269.1781055648,22472.8404652533,25562.7562824983
"23","Blitar","Kota Blitar",3572,3572,13519.7,16661.8,20449.6,25401.2,30822.5,9.51190316000165,9.72087395310187,9.92571860137745,10.1425516959851,10.3360002217427,20766.4770789314,22912.5396882983,25598.1066604748,29754.4258620889,34071.8561596577
"24","Tulungagung","Kabupaten Tulungagung",3504,3504,10591.9,12964.5,15884.9,19975,23901.1,9.26784483704461,9.4699701318608,9.67312425143671,9.90223677063448,10.0816797619651,16366.2222524851,17763.6836133792,19811.7739232858,23359.6290984684,26403.6918261167
"25","Trenggalek","Kabupaten Trenggalek",3503,3503,7808.9,9161.4,11087.1,13888.7,16707.4,8.96301938784371,9.12275428441752,9.31353754930415,9.53883083885574,9.72360701403139,12124.6644414085,12604.7500981815,13883.6339522721,16306.2233633225,18529.8346955223
"26","Malang","Kota Malang",3573,3573,24278,28856.9,35468.7,44653.7,54358.3,10.0973258694577,10.270104411451,10.4764058964053,10.7066924496127,10.9033525947812,36582.5884935146,38949.431751699,43552.9122832421,51315.387960308,58910.0327106965
"27","Gunung Kidul","Kabupaten Gunung Kidul",3403,3403,9884.7,11229.1,12706.5,14534.6,16839.3,9.19874338613052,9.3262639020454,9.44986895253972,9.58428729283446,9.73147071923639,15698.4462562416,15881.9565339573,16394.4169113183,17640.5149374737,19319.0195181982
"28","Bondowoso","Kabupaten Bondowoso",3511,3511,7783.4,9141.2,10964.2,13471.2,16030.4,8.95974853970274,9.12054694685873,9.302390698774,9.5083093522961,9.682242198505,11894.0538474826,12532.2948396381,13476.2870036817,15328.2169743853,17037.5086519303
"29","Bantul","Kabupaten Bantul",3402,3402,9723.3,11478.1,12828.5,14927.1,17293.9,9.18228034600815,9.34819615094958,9.45942453729075,9.61093363188058,9.7581091171514,15436.0680980885,16187.451795335,16487.7276709379,18028.0681150792,19712.7345861355
"30","Ponorogo","Kabupaten Ponorogo",3502,3502,6793,8058.5,9844.7,12216.8,14867.3,8.8236479491913,8.99448271396277,9.19468851828796,9.41056733263897,9.60691944932951,10672.064836568,11207.344196624,12459.9236239751,14496.8819775066,16671.4427514048
"31","Kulon Progo","Kabupaten Kulon Progo",3401,3401,9417.4,11033.1,12527.4,14241.8,16553.7,9.15031432098048,9.30865512443717,9.43567352436338,9.56393658147197,9.71436492077297,14607.8722431754,15219.6506398584,15769.3855086815,16853.5460082771,18481.9423426725
"32","Kediri","Kota Kediri",3571,3571,152275.7,165071.3,192907.3,236462.4,285019.1,11.9334479726404,12.0141327807574,12.16996504162,12.3735444890738,12.5603114745491,262477.446666824,249579.617036672,264724.767678265,304417.084219297,346401.330831055
"33","Kota Batu","Kota Batu",3579,3579,20990.7,25259.4,31587.5,40878.9,50937,9.95183476147252,10.1369536426533,10.3605167516964,10.6183693164921,10.8383448539841,31900.108685015,34447.3199497621,39249.5701598751,47570.2784773456,55933.5060659335
"34","Wonogiri","Kabupaten Wonogiri",3312,3312,10208.4,11700.1,13738.7,16236.7,19679.4,9.23096618976984,9.36735266775787,9.52797194703521,9.69502939109691,9.8873276823366,16274.0534942049,16609.1403295632,17786.3274543396,19754.4644721629,22651.4938876155
"35","Kediri","Kabupaten Kediri",3506,3506,8312.8,9699,11439.3,14199.2,16937.5,9.02555177453844,9.17977806639354,9.34481007425049,9.56094090397414,9.73728537762206,12848.5243286603,13315.0192673386,14291.2169245543,16622.0304058306,18725.405859798
"36","Yogyakarta","Kota Yogyakarta",3471,3471,31632.6,37468.1,42799.2,50265.8,58599.8,10.361943513364,10.5312451832696,10.6642746898064,10.8250802043599,10.97848656259,50935.5586711057,53596.4480242432,55763.6903979922,61516.9264373388,67650.1379933945
"37","Probolinggo","Kabupaten Probolinggo",3513,3513,9054,10686.8,12960.1,15854.6,18540.3,9.1109619279959,9.27676461402397,9.46963068592588,9.6712149580197,9.82770202021871,13293.9651895772,14031.485819194,15446.0210558673,17658.5839312889,19457.6176343036
"38","Probolinggo","Kota Probolinggo",3574,3574,15248.6,17755.2,21390.1,26402.4,31875.9,9.63224297454269,9.7844337097463,9.97068347714734,10.1812101940933,10.3696055173562,22317.6851374758,23231.8277819093,25418.0479853111,29327.5040705129,33373.3712899196
"39","Purworejo","Kabupaten Purworejo",3306,3306,7996.6,9610.5,11695.3,13989.5,16800.2,8.98677173032388,9.17061152974719,9.3669423306773,9.54606232720669,9.72914607008239,12476.706310539,13338.2919801367,14820.9201314252,16672.8984541835,18892.3292125043
"40","Klaten","Kabupaten Klaten",3310,3310,11338.5,13783,15475.8,17616.2,21346.6,9.33595929340034,9.53119122769444,9.64703279250092,9.77657421221318,9.96864775538957,18025.0407459863,19522.6349728905,19993.9771592439,21406.6277795774,24525.9394755677
"41","Sleman","Kabupaten Sleman",3404,3404,13544.6,16422.6,18976.3,22220.6,26104.5,9.51374322289082,9.70641371395497,9.85094611111599,10.0087750655293,10.1698629922423,21555.4130565514,23222.8150514503,24457.0721116331,26909.6256312423,29835.8565035617
"42","Pangandaran","Kabupaten Pangandaran",3218,3218,9012.6,10791.5,12619.9,14850,17565.3,9.10637887723206,9.28651406619903,9.44303021213354,9.60575514423085,9.77368064397337,10141.9040662628,11302.1652464221,12419.5615915233,13952.0132810731,15890.9223539526
"43","Situbondo","Kabupaten Situbondo",3512,3512,8790.8,10200.9,12219.5,15124.8,18072.9,9.08146099905206,9.23023123067398,9.4107883153582,9.62409105967112,9.80216885770463,11205.098122023,12244.0525412942,13396.6743119345,16332.1775813952,17962.310225499
"44","Cilacap","Kabupaten Cilacap",3301,3301,28452.4,38365.1,43500.2,48340.3,55563.5,10.2559877945202,10.5549034711508,10.6805208147674,10.7860208602788,10.9252817898446,35991.8297306786,43048.2903175741,44890.603861353,47017.4558517256,51090.6755463015
"45","Sukoharjo","Kabupaten Sukoharjo",3311,3311,14573.3,16745.3,19477.5,22841,27497.4,9.58694636633704,9.72587290086358,9.87701523220501,10.0363124456486,10.2218467337304,23471.4703849333,24013.2022442774,25473.8157899079,28089.0393702992,31970.5005544693
"46","Kebumen","Kabupaten Kebumen",3305,3305,7936.7,8789.2,10339.2,12182.3,14885.8,8.97925285071998,9.08127897402311,9.24369777563018,9.40773935759131,9.6081630173869,12510.9250523176,12404.1704028187,13387.0604420905,14932.0609492177,17310.2717155281
"47","Magetan","Kabupaten Magetan",3520,3520,8571.1,10189,12429.5,15649.6,19054.8,9.05615135808085,9.22906398597429,9.42782795843424,9.65820063653623,9.85507431732005,13617.9685535488,14344.1511608467,15936.0327282692,18845.0964909767,21684.3967653958
"48","Pasuruan","Kota Pasuruan",3575,3575,12724.2,15207.7,18330.6,22440.6,27082,9.45126097107307,9.62955715751394,9.81632707352225,10.0186270972471,10.2066245795428,18753.8303833401,20062.2061248932,21988.8429854992,25172.7133916247,28648.3875668567
"49","Madiun","Kota Madiun",3577,3577,22243.2,26696.3,33008,42914.4,53867.4,10.0097916229062,10.1922802580067,10.404505235311,10.6669627129291,10.8942807501697,35336.0589920834,37549.6505978826,42268.8382867058,51577.3988039024,61216.121472166
"50","Pasuruan","Kabupaten Pasuruan",3514,3514,26751.3,31760.7,38416.2,48210.6,58619.3,10.1943383492741,10.3659849554205,10.5562345246116,10.7833341928729,10.9788192728766,39829.0508060007,42327.6296255849,46559.7009832411,54668.1389278314,62687.8207498303
"51","Magelang","Kabupaten Magelang",3308,3308,8909.7,10195.6,11875.2,13931.7,16464.1,9.09489584986434,9.22971153365544,9.38220747086628,9.54192209809298,9.7089375319135,13893.508186659,14134.6617833996,15019.6639022268,16560.2887571784,18466.3993288457
"52","Nganjuk","Kabupaten Nganjuk",3518,3518,7032.4,8442.6,10459.6,13018.6,15718.9,8.85828332056863,9.04104559702226,9.25527549596993,9.47413438309941,9.66261908898016,10912.9438630303,11610.7515625434,13093.7227750206,15279.1785128555,17427.6512165071
"53","Karangasem","Kabupaten Karanganyar",3313,3313,12988.8,14122.1,16492,19792,24244.2,9.47184272664458,9.5554962252012,9.71063069382679,9.89303309463227,10.0959326925009,20851.7994212823,20178.6965812523,21487.2804923516,24231.4755915541,28084.6191446514
"54","Surakarta","Kota Surakarta",3372,3372,26409.8,33179.2,40622.6,50474.8,61156.5,10.1814904323734,10.4096784525436,10.6120798409639,10.8292294808156,11.0211914314598,42875.308223306,48027.5421287909,53666.5515499296,62748.7956045155,71882.8422561723
"55","Madiun","Kabupaten Madiun",3519,3519,8303.5,9679.9,11554.1,14368.6,17472,9.02443239164681,9.17780684963875,9.35479563131501,9.57280054913556,9.76835487854463,12897.1863472098,13322.2978489838,14471.8282437299,16873.0018724936,19382.8771851586
"56","Jombang","Kabupaten Jombang",3517,3517,9170.4,11056.2,13459.1,16794.5,20347.5,9.1237361848008,9.31074663556887,9.50741073617862,9.72880673083813,9.9207133332012,14218.7592540224,15297.5425793124,16933.6070429387,19759.1398653726,22580.822970317
"57","Boyolali","Kabupaten Boyolali",3309,3309,10486.6,12460.4,14389.1,17089.6,20715.6,9.25785353064487,9.43031089455489,9.57422625449255,9.74622537033543,9.9386423186105,16725.7340644132,17650.7345761946,18568.5144320463,20712.9262483857,23694.0129899818
"58","Magelang","Kota Magelang",3371,3371,23293.5,27233.1,31859.3,39665,47779.8,10.0559296306774,10.2121884242118,10.369084612099,10.5882244657361,10.7743582350192,36673.768919857,38142.5980545353,40719.8993193136,47681.5849343319,54223.6814109577
"59","Sidoarjo","Kabupaten Sidoarjo",3515,3515,31255.5,35747.7,40563.8,48802.7,57260.6,10.3499506396784,10.4842412103882,10.6106313222395,10.7955409181796,10.9553680571162,47217.8747080089,48355.7375052688,49865.3124353868,56098.7840374814,62039.831497467
"60","Mojokerto","Kota Mojokerto",3576,3576,15724.6,19350.3,23278,28811.2,35041.1,9.6629816440432,9.87046320221371,10.0552639875019,10.2685194794152,10.4642769372517,23676.743016032,26107.4973970052,28588.516931445,33119.0342468088,38019.6212764132
