Distric_Na,KABKOT,KDJ,KDJ_1,NAMA,POP2000,POP2001,POP2002,POP2003,POP2004,POP2005,POP2006,POP2007,POP2008,POP2009,POP2010,POP2011,POP2012,POP2013,POP2014,POP2015,POP2016,POP2017,PROVINSI,PULAU,Province,RGDP2000,RGDP2001,RGDP2002,RGDP2003,RGDP2004,RGDP2005,RGDP2006,RGDP2007,RGDP2008,RGDP2009,RGDP2010,RGDP2011,RGDP2012,RGDP2013,RGDP2014,RGDP2015,RGDP2016,RGDP2017,RGDPPC2000,RGDPPC2001,RGDPPC2002,RGDPPC2003,RGDPPC2004,RGDPPC2005,RGDPPC2006,RGDPPC2007,RGDPPC2008,RGDPPC2009,RGDPPC2010,RGDPPC2011,RGDPPC2012,RGDPPC2013,RGDPPC2014,RGDPPC2015,RGDPPC2016,RGDPPC2017,Regency_Ci,Region,X,Y,acuan
Sumbawa Barat,Kabupaten Sumbawa Barat,5207,5207,Taliwang,82478.7,85357,88280.5,91249.2,94263.1,97322.2,100426.6,103576.1,106770.8,110010.7,114951,116112,118608,121167,129724,133391,137072,140890,Nusa Tenggara Barat,Nusa Tenggara,West Nusa Tenggara,15470.8,15462.6,15256.2,15634.2,16050,15424,14998,15413,14018,17902,20132,14840,10836,11218,11071,22925,24555,19897,187573.4,181151.6,172814.9,171334.8,170268,158483.8,149343,148808.5,131290.6,162729.6,175135.5,127807.6,91359.8,92583,85342.7,171863.2,179139.4,141223.6,Regency,Nusa Tenggara,116.8577779,-8.757208893,Sumbawa Barat
Lombok Tengah,Kabupaten Lombok Tengah,5202,5202,Praya,789279.6,796794.3,804256.9,811667.4,819026,826332.5,833587,840789.4,847939.9,855038.3,860209,868895,875231,881686,903432,912879,922088,930797,Nusa Tenggara Barat,Nusa Tenggara,West Nusa Tenggara,4404,4528,4676,4838,5058,5276,5545,5806,6211,6665,7044,7682,8616,9154,9728,10273,10859,11556,5579.8,5682.8,5814.1,5960.6,6175.6,6384.8,6652,6905.4,7324.8,7795,8188.7,8841.1,9844.3,10382.4,10767.8,11253.4,11776.5,12415.2,Regency,Nusa Tenggara,116.2696619,-8.706315498,Lombok Tengah
Denpasar,Kota Denpasar,5171,5171,Kota Denpasar,578213.1,599777.7,619881.4,659183.5,677670.1,696573.5,710856.8,730823.1,750996.7,771278.6,791649.7,810925,828926,846194,866640.5,885447.6,897300,914300,Bali,Jawa Bali,Bali,11446,12033,12638,13309,14085,14937,15815,16859,18010,19185,20446,21831,23399,25028,26780,28424,30274,32115,19795.5,20062.4,20387.8,20190.1,20784.4,21443.5,22247.8,23068.5,23981.5,24874.3,25827.1,26921.1,28228.1,29577.1,30900.9,32101.3,33739,35125.2,Capital City,Java -Bali,115.2241908,-8.694930689,Kota Denpasar
Lombok Barat,Kabupaten Lombok Barat,5201,5201,Gerung,514225.1,522430.2,530681.5,538978.9,547322.5,555712.3,564148.2,572630.4,581158.6,589733.1,599986,606044,613161,620412,644586,654892,665132,675222,Nusa Tenggara Barat,Nusa Tenggara,West Nusa Tenggara,4452,4600,4766,4974,5252,5466,5770,6068,6341,6718,7039,7453,7828,8239,8709,9265,9796,10441,8657.7,8805,8980.9,9228.6,9595.8,9836,10227.8,10596.7,10911,11391.6,11731.9,12297.8,12766.6,13279.9,13511,14147.4,14727.9,15463.1,Regency,Nusa Tenggara,116.1369445,-8.679990063,Lombok Barat
Lombok Timur,Kabupaten Lombok Timur,5203,5203,Selong,1032836.1,1040988.3,1049031.8,1056966.6,1064792.6,1072509.8,1080118.3,1087618,1095008.9,1102291.1,1105582,1116745,1123488,1130365,1153773,1164018,1173781,1183204,Nusa Tenggara Barat,Nusa Tenggara,West Nusa Tenggara,5912,6031,6186,6438,6750,7058,7390,7766,8192,8662,9096,9653,10174,10734,11250,11917,12541,13325,5724,5793.5,5896.9,6091,6339.3,6580.8,6841.8,7140.4,7481.2,7858.2,8227.3,8643.9,9055.7,9496,9750.6,10237.8,10684.3,11261.8,Regency,Nusa Tenggara,116.5305345,-8.655441997,Lombok Timur
Mataram,Kota Mataram,5271,5271,Kota Mataram,324136.6,331367.9,338678.1,346067.3,353535.3,361082.4,368708.3,376413.2,384196.9,392059.7,402843,406910,413210,419641,441064,450226,459314,468509,Nusa Tenggara Barat,Nusa Tenggara,West Nusa Tenggara,3542,3716,3993,4401,4821,5196,5608,6056,6527,7078,7641,8227,8475,9149,9890,10677,11538,12469,10927.5,11214.1,11790,12717.2,13636.5,14390.1,15209.9,16088.7,16988.7,18053.4,18967.7,20218.2,20510.2,21802,22423,23714.8,25120.1,26614.2,Capital City,Nusa Tenggara,116.0916227,-8.604792259,Kota Mataram
Badung,Kabupaten Badung,5103,5103,Badung,384644,400581.9,415624.1,443661.6,457805.5,472293.2,483698.6,499022.5,514551.9,530218.4,546008.2,560904,575011,589007,605887.6,621135,630000,643500,Bali,Jawa Bali,Bali,12243,12917,13421,13823,14621,15441,16218,17329,18527,19711,20988,22392,24027,25666,27457,29171,31157,33061,31829.4,32245.6,32291.2,31156.6,31937.1,32693.7,33529.1,34725.9,36006.1,37175.2,38439,39921.3,41785.3,43575,45317,46964,49455.6,51376.8,Regency,Java -Bali,115.1788889,-8.600559132,Badung
Gianyar,Kabupaten Gianyar,5104,5104,Gianyar,384545.4,394197.2,402653.2,423217.3,430075.2,437014.4,440906.8,448172.6,455377.2,462461.9,469418,476459,481179,486024,490057.8,494283.3,499600,503900,Bali,Jawa Bali,Bali,6696,6994,7237,7479,7849,8278,8709,9222,9766,10345,10970,11712,12507,13360,14268,15167,16124,17011,17412.8,17742.4,17973.3,17671.8,18250.3,18942.2,19752.5,20576.9,21446,22369.4,23369.4,24581.3,25992.4,27488.4,29114.9,30684.8,32273.8,33758.7,Regency,Java -Bali,115.3238703,-8.541236121,Gianyar
Tabanan,Kabupaten Tabanan,5102,5102,Tabanan,354672.3,362500.9,369175.3,386866.2,391947.1,397058.1,399364.9,404690.1,409913.3,414981.9,419889,425089,427821,430630,432171.9,434246,438500,441000,Bali,Jawa Bali,Bali,5723,5899,6167,6470,6776,7179,7556,7991,8409,8867,9370,9915,10500,11178,11908,12645,13421,14143,16136,16273.1,16704.8,16724.1,17288,18080.5,18920,19746,20514.1,21367.2,22315.4,23324.5,24543,25957.3,27553.9,29119.4,30606.6,32070.3,Regency,Java -Bali,115.1311562,-8.540688998,Tabanan
Klungkung,Kabupaten Klungkung,5105,5105,Semarapura,144919.8,147994.9,150592.5,157674,159606.7,161546.5,162341.3,164358.6,166329,168231.1,170062.3,172124,172860,173889,174332.3,174927.7,176700,177400,Bali,Jawa Bali,Bali,2199,2326,2455,2531,2649,2792,2933,3095,3252,3412,3598,3807,4036,4280,4536,4814,5116,5389,15173.9,15716.8,16302.3,16052.1,16597,17282.9,18066.9,18830.8,19551.6,20281.6,21156.9,22117.8,23348.4,24613.4,26019.3,27519.9,28953,30377.7,Regency,Java -Bali,115.4029236,-8.534625874,Klungkung
