id_prov;Province;id_series;Series;yr1983;yr1984;yr1985;yr1986;yr1987;yr1988;yr1989;yr1990;yr1991;yr1992;yr1993;yr1994;yr1995;yr1996;yr1997;yr1998;yr1999;yr2000;yr2001;yr2002;yr2003;yr2004;yr2005;yr2006;yr2007;yr2008;yr2009;yr2010;yr2011;yr2012;yr2013;yr2014;yr2015;yr2016;yr2017
1;ACH;1;GDP Per Capita, Constant 2010 (IDR Thousand);25845,0;30118,2;30120,7;29460,0;31132,7;33033,9;34748,6;35634,5;36976,9;37947,3;39960,0;39908,8;39922,4;40344,3;39729,0;36083,4;34043,1;30825,5;27075,4;31868,0;33146,8;30119,4;27376,0;26991,2;25879,2;24089,8;22368,5;22593,7;22704,8;23099,1;23228,6;23129,0;22524,3;22837,3;23367,2
2;BBL;1;GDP Per Capita, Constant 2010 (IDR Thousand);17689,6;18855,1;19144,9;19346,2;18877,1;19285,5;19943,0;19407,4;19568,9;19925,9;20311,6;21050,5;22044,9;22981,6;23487,0;21882,8;22026,4;20600,3;21357,7;22369,7;24575,0;24921,1;25327,2;25873,1;26582,1;27334,5;27884,9;29070,6;30212,2;31172,4;32081,3;32859,6;33480,4;34134,6;34949,3
3;BKL;1;GDP Per Capita, Constant 2010 (IDR Thousand);6987,9;7152,9;7383,3;7829,1;8060,3;8549,2;8776,8;9009,6;9355,8;9688,5;10126,2;10449,6;10889,8;11260,0;11356,0;10419,4;10368,9;10558,7;10893,9;11303,6;11800,9;12323,0;12922,5;13569,0;14317,0;15006,8;15711,9;16527,1;17282,3;18143,5;18919,3;19626,7;20302,5;21041,6;21755,0
4;BLI;1;GDP Per Capita, Constant 2010 (IDR Thousand);7575,4;8203,9;8802,6;9349,6;10024,1;10719,4;11519,7;12389,8;13275,3;14308,9;15449,0;16474,5;17682,0;18793,9;19546,3;18441,5;18258,7;18510,0;18723,6;18858,8;19105,2;19559,8;20213,9;20843,0;21631,0;22470,1;23208,8;24095,4;25266,0;26689,6;28129,7;29668,9;31093,6;32686,7;34137,1
5;BTN;1;GDP Per Capita, Constant 2010 (IDR Thousand);12083,7;13579,1;14014,6;14515,6;14711,9;15415,3;16164,7;16973,4;17791,9;18570,1;19376,0;20268,6;21405,7;22704,5;23316,9;19439,6;19510,7;20034,4;20071,3;20166,4;20473,5;20918,6;21447,6;22175,4;23040,5;23889,1;24529,0;25532,5;26549,0;27716,5;28910,7;29846,6;30813,0;31780,7;32933,4
6;CJA;1;GDP Per Capita, Constant 2010 (IDR Thousand);5954,3;6637,0;7107,8;7450,4;7796,3;8194,0;8620,2;9098,6;9666,8;10302,4;10847,1;11518,8;12294,5;13053,4;13308,7;11559,9;11898,6;12241,4;12633,9;13034,9;13634,1;14281,0;14990,1;15732,7;16552,8;17418,5;18248,5;19245,6;20053,8;20950,6;21844,9;22819,2;23887,1;24965,8;26097,7
7;CKL;1;GDP Per Capita, Constant 2010 (IDR Thousand);11742,8;11920,0;12200,1;12917,7;13336,4;13930,6;14034,7;14509,2;15150,2;15993,5;16308,1;17077,4;18185,1;19634,3;20276,8;18345,5;17810,0;17870,7;18052,7;18659,5;19221,7;19929,4;20736,3;21570,1;22492,3;23483,9;24387,1;25555,5;26588,9;27749,0;29106,4;30216,7;31619,2;32903,2;34378,4
8;CSI;1;GDP Per Capita, Constant 2010 (IDR Thousand);6707,9;6705,1;6834,8;7098,3;7393,5;7784,2;8230,3;8703,8;9214,3;9731,1;10310,7;10813,8;11456,2;12044,5;12302,6;11528,9;11565,8;11680,5;12049,4;12495,7;13036,0;13723,7;14508,8;15379,7;16332,8;17316,2;18351,7;19640,2;21105,7;22724,5;24491,0;25316,3;28778,6;31164,3;32886,4
9;EJA;1;GDP Per Capita, Constant 2010 (IDR Thousand);9061,4;9514,8;9931,9;10430,5;10820,7;11412,4;12129,3;12940,7;13735,7;14579,6;15462,4;16453,3;17690,9;18995,0;19661,8;16389,2;16380,5;16644,6;17127,1;17631,0;18332,2;19254,7;20261,0;21437,8;22620,8;23835,5;24901,9;26433,7;27864,3;29508,4;31092,0;32703,4;34271,8;35970,7;37720,4
10;EKL;1;GDP Per Capita, Constant 2010 (IDR Thousand);115825,2;134672,4;129974,0;125446,0;119990,7;114673,7;112505,9;114799,7;118547,5;122997,9;122691,4;130363,9;132478,2;139757,9;142222,3;137746,3;139908,7;142522,8;142649,4;139025,0;136080,0;133258,6;132550,2;130747,2;127804,3;129063,5;126258,8;127914,5;131607,1;134904,7;134587,5;133086,1;128603,1;125409,4;126654,7
